steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
150000	75	7043.817745447159	9.333333333333334	5.0	12.096831541082704	23.0	0.0	0.5524624865055084	1.5644232079982758	0.019357786390464753	0.005489123314619065	14016	0.03147071758878228
300033	153	14310.719038248062	10.666666666666666	13.0	7.767453465154029	17.0	2.0	0.33332680889964106	1.5735233590602875	0.0019521428080042824	0.05367213251069188	28128	-3.9824928164897644
450033	228	21634.24649453163	11.0	12.0	1.7320508075688772	12.0	9.0	0.7073281137645244	1.5397338119745254	0.050154371671378616	-0.04429318765178323	42144	0.020014540179574603
600620	304	29206.339379549026	7.0	7.0	5.0	12.0	2.0	0.693102221518755	1.5215740426778794	0.027888582665473224	0.012735650679096579	56256	-0.14203141649783402
750620	379	36920.49763226509	6.333333333333333	6.0	4.509249752822894	11.0	2.0	0.47677993862330914	1.5448369747400283	0.03548054942861199	0.0021569399535655977	70368	0.045176496235886265
901734	456	44880.9272506237	7.666666666666667	8.0	1.5275252316519465	9.0	6.0	0.5171118679046631	1.4983345143198967	0.04234888142673299	-0.04185258101671934	84480	0.1209420238759118
1050540	531	52875.40846371651	14.333333333333334	13.0	8.082903768654761	23.0	7.0	0.6165942805707455	1.5176285779476166	0.030676935808733107	0.012409976925700903	98400	0.4940906290353656
1201061	608	61312.31288385391	13.0	19.0	10.392304845413264	19.0	1.0	0.6486307488679885	1.500124094605446	0.07537900092080235	-0.08763541331514717	112512	0.20700459389583958
1351173	684	69714.42633461952	17.333333333333332	13.0	8.386497083606082	27.0	12.0	0.9659323206543923	1.45687141174078	0.07474116273224354	-0.048927730172872545	126624	0.29042215699860363
1501363	760	78361.80487561226	7.0	2.0	9.539392014169456	18.0	1.0	0.8393448215126992	1.4816597489267587	0.09094238769263029	-0.06061730132903904	140736	0.33303056100241446
1651789	837	87264.90305304527	10.666666666666666	10.0	6.027713773341708	17.0	5.0	0.5640457808375359	1.4630404522717	0.03499104870483279	0.007834531939588487	154848	0.24893927026812657
1800268	915	96444.26899909973	19.0	23.0	10.583005244258363	27.0	7.0	0.7779530311822891	1.4363363676071168	0.029537848848849534	0.06795437378808857	168768	0.4944136749858644
1950490	991	105839.1219754219	7.333333333333333	9.0	4.725815626252608	11.0	2.0	0.9317464831471444	1.4853311348557472	0.09682398132979869	-0.05028924334794283	182784	0.26633320771615066
